,0
661,Болды сұлу бір жұлдыз
662,Жарқырап нұрын төгіп тұр
663,Төкпейді бірақ нұр күндіз
664,Ғазиза сен де қарағым
665,Жақсы оқып сабағың
666,Сұлулыққа ұмтылып
667,Тәңіріден тілеп жас төгіп
668,Сұра жалын  Зуһра бол
669,Зуһра
670,Мағжан
671,Жұмабаев
672,өлең
673,Мағжан Жұмабаев өлеңдері
674,
675,Күз
676,Бұрқырап қара дауыл соғып тұрған
677,Көкорай түсі қашып солып тұрған
678,Шыдамай қатты ызғарлы жел өтіне
679,Бүрісіп ағаш шөптер тоңып тұрған
680,Көрік жоқ ойдақырда шығып жүрсең
681,Естілмес құс құрт даусы құлақ түрсең
682,Қақтанған жамыла түсіп от маздатып
683,Көресің кемпіршалды үйге кірсең
684,Масатыдай құлпырған жердің жүзі
685,Аяқ бассаң  табанға өтер сызы
686,Кемпір болған бетаузы қатпарланып
687,Бұраңдаған кешегі сұлу қызы
688,Қысқасы жер жүзінде көрік біткен
689,Қараған да сұлу қыз қайта кеткен
690,Жыламсырап мұңайып жандыжансыз
691,Қатты аязды қайырымсыз қысты күткен
692,Осы уақыт шаһарға тұрсаң қарап
693,Түрлі жұрт түрлі істе жүрген тарап
694,Көше бойлап оқуға шапшаң басып
695,Шаттықпен жас балалар боқша арқалап
696,Қыс күз болмас оларға көңілсіз шақ
697,Оқу біліп айырар қара мен ақ
698,Өнерленген дүниеге ұста болған
699,Қолдарында олардың тәж бенен тақ
700,Қарасаң сонда қазақ арасына
701,Ойнаған жалаң аяқ баласына
702,Кетеді іш елжіреп жаныпкүйіп
703,Көңілдің тұз сепкендей жарасына
704,Жас емір надандықта өткен босқа
705,Оқымай өнер қумай жазықыста
706,Білімнен аттонымен қашқан қазақ
707,Сайлауға таласуға қандай ұста
708,Баласын оқытумен жоқ жұмысы
709,Ел бұзу малын шашу  барлық ісі
710,Ойлаған бір күн бұрын таңдағы істі
711,Япырымау айтсаңдаршы бар ма кісі?
712,Басқа жұрт балалары оқу қуған
713,Біліммен өз жұртының бетін жуған
714,Ішіпжеп босқа жүрсе хайуан малдай
715,Адамзат жер жүзіне не үшін туған?
716,Қор болдық өнер қумай қайран елім
717,Күш кетіп талай жаннан көрдік керім
718,Сұлық боп жан шыққалы тұр таяулап
719,Маңдайдан шыпшып шығып елім терің
720,Мағжан
721,Жұмабаев
722,өлең
723,күз
724,Мағжан Жұмабаев өлеңдері
725,
726,Көбелек
727,Отқа ұшар көбелек
728,Қарамай сорлы алдыартын
729,Ойына кіріпшықпайды
730,Күйдірер деп отжалын
731,Шырқ айналып ентелеп
732,Жүрер де бір уақ ол қонар
733,Ұмтылған оты сорлыны
734,Күйдірер де тез тынар
735,Құрбылар іске бет алсақ
736,Ойламай қанат қақпалық
737,Анау жарық  алтын деп
738,Көрінгенге шаппалық
739,Желімен кетсек қанаттың
740,Көбелектей күйерміз
741,Алам деп алтын барғанда
742,Күлден кебін киерміз
743,Мағжан
744,Жұмабаев
745,өлең
746,көбелек
747,Мағжан Жұмабаев өлеңдері
748,
749,Көңіл
750,Сұм көңілге разы емен мен
751,Тез жанад да тез сөнед
752,Бір тілегін істесең сен
753,Оған басқа ой келед
754,Жас баладан артық жеңсік
755,Мұндай нәрсе көрмедім
756,Тұрағы жоқ шайтан секек
757,Тіптіақ сырын білмедім
758,Бір жар іздеп болса әуре
759,Таптым бардым қасына
760,«Аш құшағың дедім сәуле»
761,Шомылып көз жасыма
762,Жанған жүрек жасты көріп
763,Көңілі сенгіш перизат
764,«Ақырын деді қолын беріп
765,Жанба сәулем көрме жат»
766,Жаныпкүйіп сүйсе таңда
767,Кешке сөнген ол отсыз
768,Бүгін мұнда ертең анда
769,Тымақ нәрсе ұятсыз
770,Мағжан
771,Жұмабаев
772,өлең
773,көңіл
774,Мағжан Жұмабаев өлеңдері
775,
776,Көңіліңді ашар
777,Көңіліңді ашар
778,Жалынды басар
779,Жоқ жанында жолдасың
780,Отырсаң аулақ
781,Дерт басса қаулап
782,Жұбатар қиял  мұңдасың
783,Бейне хор жүзі
784,Бейне бал сөзі
785,Жан жарыңмен тұрасың
786,Құшақтап белден
787,Жалындап тілден
788,Сүйіскендей боласың
789,Мағжан
790,Жұмабаев
791,өлең
792,көңіліңді
793,ашар
794,көңіліңді ашар
795,Мағжан Жұмабаев өлеңдері
796,
797,Ләззат қайда
798,Бұл жарыққа шыққан соң
799,Іздейді көңілім күнтүні
800,Қайдасың ләззат рахат деп
801,Таппады сал боп еш мұны
802,Ойында ма бос өткен?
803,Қайғыланған ойда ма?
804,Жүйрік тазы сұлу мен
805,Қызойнақ иә тойда ма?
806,Байлықта ма бірлікте
807,Бетіне шірігі шықпаған
808, ат беріп жұрт аузын
809,Алып оған ықтаған?
810,Ләззатты іздеп көңілім
811,Аласұрған шарқ ұрып
812,Біреуін де осы деп
813,Қалмай жүрген бір торып
814,Баяулады жалғызақ
815,Мінеки деп тұрақтап
816,Ләззаттанып сөзіне
817,Қолына кітап құранды ап
818,Айтар сөзім ендігі
819,Аласұрған көңілге
820,Оқу оқы өнер қу
821,Басқалардан түңіл де
822,Жұрттың қамын көп ойла
823,Уайымқайғы жеп ойла
824,Артта қалған сорлы жұрт
825,Алға бассын деп ойла
826,Мағжан
827,Жұмабаев
828,өлең
829,ләззат
830,қайда
831,ләззат қайда
832,Мағжан Жұмабаев өлеңдері
833,
834,МД абақтыдан шыққанда
835,Зор қуаныш — қара түн өткенне
836,Алтын таңды ашық күн жеткенне
837,Қан аралас төглген көп көз жасты
838,Тәңр қабыл мейрм ғып еткенне
839,Ерк құсы қайта ұшып келгенне
840,Душар болмай дұшпанның мергенне
841,Қайта шықты батқан Күн нұр шашылды
842,Мың шүкрлк Тәңрнң бергенне
843,Күннң бетн ежелден бұлт жаппақ
844,Жапса да ұзақ тұрмай жөнн таппақ
845,Қайғы көрсе ер жгт қайраты аспақ
846,Қамшы тисе шын жүйрк үдей шаппақ
847,Оңнан ест жел браз қырын ескен
848,Соң туса да оң туса қалмас көштен
849,Өткен ске – салауат күтп қалдық
850,Өткр қимыл еск үмт жаңа күшпен
851,Мағжан
852,Жұмабаев
853,өлең
854,абақтыдан
855,шыққанда
856,мд абақтыдан шыққанда
857,Мағжан Жұмабаев өлеңдері
858,
859,Мағарри сөздер
